    phi1         Phi        phi2        area       omega           a           b
 55.6939     86.2341     126.536      267102     86.6926     411.621     206.552
 12.0683      120.04     54.6256      815531     134.319     541.506     479.388
 48.7075     110.974     44.1717      126927     60.4258     278.268     145.191
 5.52237     92.5863     107.434      267325     88.0094     454.837     187.083
 13.8666      26.557     19.6682 2.86927e+06     66.8425     1042.15     876.383
  134.05       86.37     101.665 1.12151e+06     115.507     923.871     386.403
 172.941     134.055     46.1218       87611     73.4885      207.39     134.469
0.735972     135.497     34.5168      626692     115.471     468.088     426.164
 140.463     36.3049     25.9952      199313     75.8728     355.005     178.711
 11.4111     92.4246     43.9845 1.20618e+06     51.4245     695.123     552.334
 172.385     67.4977     14.9314      764159     102.143     679.671     357.878
 110.591     162.063     28.7386 1.34684e+06     36.6769     1044.49      410.45
 175.971     54.5631     22.2879     94451.3     1.91688     193.622     155.276
 107.707     168.687     166.628 2.84413e+06     102.899     1564.98     578.483
 155.295     95.6149     65.1221      130588     72.5788     253.311     164.097
  43.988     120.384     103.507      643000     82.3199     568.269     360.169
 171.558     99.9055        19.7      768619     103.307     631.634     387.343
  145.03     8.30023     142.633      655407     64.4493     508.396     410.355
 174.526     92.4219     90.6289 1.01884e+06     87.4251     1022.47     317.182
  16.198     122.281     147.591      411491      58.546     404.104     324.129
 30.2906     151.794      162.13      382735     96.9574     499.939     243.686
 17.4329     121.829     154.975      156227     94.6177     303.356     163.928
 139.149      150.59     153.147      230624     35.6227     372.006     197.335
 41.7012     165.728     87.0519 1.00116e+06     52.3245     617.422     516.144
 109.312     45.9337     104.657 1.33298e+06     76.7942     825.557     513.958
 2.98702     71.4812     154.946      340516     100.601     366.297     295.906
 147.068     30.9617      56.778      720892      86.698     856.548     267.898
 11.6372     119.855     123.752      378583      44.385     370.304     325.426
 9.16184     151.933      35.823      799736      95.201     547.928     464.594
 82.6858      16.499     108.125      686976     75.9717     690.112     316.863
 6.14955       116.2     74.9113      177636      179.45      287.01     197.008
 141.373     147.107     18.0256      640425     113.945     592.155     344.257
 171.422     63.2472     66.9826      574144     29.1095     564.864     323.539
 8.36388     27.6384     77.7312      369476     117.408     405.645     289.928
 82.3545     145.084     84.5687      621016     43.6088     586.516     337.034
 61.8392     105.302     80.7562      846032     98.6956     690.121     390.222
 177.112     63.5904      95.343      236160     75.5179     474.137     158.545
 170.103     52.9963     132.748      763786     72.8262     765.134     317.749
 133.254     4.33776     187.875      716849     93.6376     761.432     299.672
 171.886     46.2949     126.184   1.229e+06     99.4743     826.406     473.378
 108.132     33.1302     89.4559      574564     110.094     625.486     292.396
 4.17865     122.679     138.645      903280     86.0136     852.341     337.333
 152.417     20.8985     161.889      635402     94.8007     765.589     264.182
 149.498     114.329     24.7812      210659     105.561     316.318     211.986
 106.398     29.0233     52.4433 1.71393e+06     97.5456     873.442     624.609
 161.463      47.501     67.5237     72823.3     116.549     227.621     101.838
 13.2317     84.9656     76.9275      404313     172.701     426.195     301.967
 38.2056     77.7921      142.75      744093     72.7345      608.72     389.099
 7.71382     119.178     113.139      117892      38.435     207.273     181.047
 35.3785     132.375     107.656      688117     119.811     623.639      351.22
  84.474     95.6821     133.275      374637     119.635     450.252     264.853
 167.312     162.205     87.6704      533514     162.553     509.958     333.013
 80.7934     13.8457     80.6562      606458     114.164     613.306     314.756
 64.8763     76.4208     115.283 1.11257e+06      91.958       724.2     489.011
   73.68     109.073     58.5527      443788     45.8846     404.031     349.632
