    phi1         Phi        phi2        area       omega           a           b
 51.9168     34.3928     50.9992      111057     93.7617     207.254     170.566
 10.7892     121.109     72.8165 1.49623e+06     119.874     1271.05     374.701
 9.24952     89.5442     84.0182 1.54962e+06     62.0498     942.821     523.173
  12.434     77.5148     93.7094 1.08485e+06      98.268     821.598     420.303
 151.612     46.0626     134.979      131767     134.474     301.128     139.285
  40.223     35.2981     38.1589      267757     140.035     366.174     232.758
 2.22135     68.6956     104.584 1.95229e+06     107.927     1114.08     557.797
 91.4307     80.8382     44.3612 2.83138e+06     14.9922     1148.46     784.751
 102.995     78.9076     12.8638 2.25875e+06     156.143     1042.85     689.438
 118.296     69.4953     26.4262      819924      8.8441     609.912     427.914
 168.568     51.1159     117.112 1.14986e+06     91.9527     732.704     499.536
 27.3803     112.071     57.3785  3.8628e+06     136.708     1674.51     734.284
 3.23271     34.3429     70.7083 1.00263e+06     101.488     688.368     463.628
 21.4146      67.568     80.5012      174596     55.7844     256.574     216.607
 156.973     84.1746     85.0993     91969.7     102.855     195.819       149.5
  99.666     77.3351     10.0552 2.15865e+06     61.4984       967.4     710.273
 173.805     51.6782      111.04 3.21388e+06     99.7435     1526.58     670.134
 8.42938     95.2792      90.927      351412     93.0395     503.586     222.123
 81.7052     72.0612     47.4226      135686     145.046     282.602      152.83
 171.563     111.705     87.2799      487669     93.2371     494.726      313.77
 21.1619     69.9956     70.7439 4.42103e+06     105.002     1735.75     810.748
 35.8207     80.4402     67.9306      827216     2.23741     576.241     456.946
 22.1539     41.1786     63.6776 2.12408e+06     101.886     1145.14      590.42
0.430478     52.1461     81.6691  2.1561e+06     92.0534     1172.65     585.262
 28.4563     15.3212     74.4199      240632     33.9265     332.416     230.421
 162.731     131.579     91.2047     84481.8     58.2814     186.092     144.506
 21.2218     92.9741     82.7189      184976     44.8348     269.473     218.499
 14.4289     33.5587     79.3705 1.06951e+06     100.083     960.026     354.612
 160.737     95.7876     75.9664  1.6581e+06     73.6278     836.562     630.902
 89.5382     82.1614     12.0124      536874     80.0955     450.397     379.426
  35.168     134.378      81.116     85748.6     51.8913     221.169     123.411
0.680725     32.2964     97.2717      955064     137.684      594.89     511.029
 34.3389     174.894     100.479 2.97158e+06     110.885     1701.81      555.81
