4.2023	136.55	65.026	0.0012002
143.86	65.642	163.71	0.003545
134.15	19.742	122.74	0.0027505
157.31	28.823	21.668	0.0015169
130.55	22.206	137.79	0.0023057
23.44	155.82	150.47	0.004972
5.8712	103.51	42.52	0.0073465
51.733	139.27	46.599	0.0028742
137.97	126.45	120.16	0.007418
48.26	148.9	43.657	0.00082623
155.41	36.001	47.77	0.0090525
146.12	51.804	68.108	0.0083313
165.32	78.325	29.464	0.0042957
15.567	160.01	121.19	0.00096976
13.28	118.62	22.195	0.0050575
119.34	75.402	113.23	0.002166
178.22	67.748	120.79	0.001223
19.704	142.31	107.58	0.0032112
9.3492	110.37	128.46	0.0069117
163.08	71.968	41.831	0.0025243
162.54	35.313	92.045	0.0064878
3.2384	133.47	30.922	0.0018512
179.43	39.547	113.05	0.0028875
133.52	153.07	176.05	0.0051203
21.296	101.43	49.046	0.0061458
146.13	75.508	22.613	0.0020629
163.87	72.923	41.878	0.0054536
125.77	154.13	125.75	0.0080766
160.54	165.34	41.045	0.011556
145.7	72.365	44.124	0.010998
137.06	65.539	137.53	0.0084667
12.322	97.122	135.55	0.0072733
100.12	96.344	108.19	0.001909
43.642	90.776	94.995	0.0015095
180.81	173.97	26.653	0.016203
128.41	62.557	125.99	0.0015705
171.28	80.34	113.86	0.015223
107.03	144.54	172.38	0.0021903
156.78	134.93	65.656	0.0076674
90.219	132.73	128.82	0.0052094
159.45	21.543	40	0.0047501
96.243	58.535	78.026	0.00088954
82.197	62.998	134.54	0.0025093
143.08	22.522	120.48	0.0021763
63.024	166.43	70.967	0.011065
55.255	117.92	150.6	0.0056833
20.367	107.41	147.53	0.01551
82.597	148.31	86.222	0.001908
81.077	151.35	84.096	0.0030865
56.254	114.59	84.266	0.0064854
174.11	57.219	98.98	0.0023779
165.24	34.307	149.07	0.0090244
176.17	110.03	6.3624	0.00241
3.7818	118.27	106.01	0.002368
10.297	96.459	135.44	0.0022967
61.223	110.76	117.38	0.0029143
91.527	138.75	59.624	0.025922
160.79	64.832	139.95	0.014555
176.39	110.15	6.3704	0.0017331
174.38	82.057	114.11	0.0048504
15.537	145.1	115.12	0.016409
159.95	42.919	146.33	0.0055748
153.51	27.962	143.79	0.0075825
78.071	65.667	161.65	0.0020624
23.939	118.89	119.33	0.0020581
68.215	63.142	26.614	0.0066753
54.399	139.73	61.81	0.0037519
72.416	127.84	57.59	0.017257
146.39	38.982	24.579	0.013322
120.15	30.313	157.29	0.010417
74.479	78.569	77.275	0.0057443
